S,"N = 10,000"
0,0.018437774000049104
1,0.01883326799958013
2,0.017070642000762744
3,0.01622225799917942
4,0.01586551200103713
5,0.01411651200032793
6,0.013972823999356478
7,0.014042871999263297
8,0.014105077999120112
9,0.013988049999170471
10,0.013244277999910991
11,0.013452437999949324
12,0.01328898800042225
13,0.013204114000836853
14,0.013226615999883506
15,0.013357671999838203
16,0.01339751000108663
17,0.013251098000619094
18,0.01323876799986465
19,0.013587983997422271
20,0.01379467199993087
21,0.013837821999331937
22,0.013764287999656517
23,0.01380592200148385
24,0.013705687998735812
25,0.013688345999689773
26,0.013777749999717344
27,0.013721430001023691
28,0.013673941998858937
29,0.013762933999823873
30,0.01375605200068094
31,0.013792393998010084
32,0.013715356000175235
33,0.013661900000297465
34,0.013695065999345389
35,0.013689171999285463
36,0.013681463999964762
37,0.013837650000932627
38,0.013803639998368453
39,0.016003413997532336
40,0.016105513999355024
