S,"N = 100,000"
0,2.89099856
1,2.89087459
2,2.810719172
3,2.69623851
4,2.503289414
5,2.500738452
6,2.50139004
7,2.480188186
8,2.400398686
9,2.395217396
10,2.392747246
11,2.402338364
12,2.401450922
13,2.403116218
14,2.394387942
15,2.393367386
16,2.390594364
17,2.394795948
18,2.387175906
19,2.389878576
20,2.390220764
21,2.38208682
22,2.388687996
23,2.388283968
24,2.390394006
25,2.388000828
26,2.384748168
27,2.382830024
28,2.384056246
29,2.383413202
30,2.46369308
31,2.54962811
32,2.54254456
33,2.541665056
34,2.549273372
35,2.540510506
36,2.542401232
37,2.546784722
38,2.54557379
39,2.543557252
40,2.544485014
