S,"N = 10,000,000"
0,38.41879590400029
1,38.43026610000059
2,37.16303677399934
3,36.126027645999564
4,35.65472079400148
5,34.19948907200072
6,34.27113178200147
7,34.29392543799943
8,34.210113095999695
9,33.87812020600075
10,33.40270103199815
11,33.43278991200146
12,33.38981832600082
13,33.408841151998494
14,33.38500577000144
15,33.47397531600145
16,33.419219537997854
17,33.400230508000824
18,33.42677839799901
19,33.69805233999796
20,33.85409694599977
