S,"N = 100,000"
0,0.22689852999930735
1,0.226132994001091
2,0.21407509599957847
3,0.1949528459997964
4,0.19368583199859132
5,0.1930626419998589
6,0.1812763579993043
7,0.17932331200077897
8,0.17992706800054292
9,0.17897525400068845
10,0.17989345200010576
11,0.17914915000030304
12,0.17592747999966377
13,0.1751167340000393
14,0.1760415479997755
15,0.1772183160026907
16,0.17662398400105303
17,0.1772654739994323
18,0.1768804739988991
19,0.177248262000212
20,0.17709418599988566
21,0.177120677997882
22,0.17726311599777544
23,0.17719808199908585
24,0.18194807800056878
25,0.18686691799899563
26,0.18653839800099375
27,0.1856486799992854
28,0.18520882000011624
29,0.18532074999908218
30,0.18513143199990736
31,0.18507717999920714
32,0.18530631200032077
33,0.18492194400023437
34,0.1850132839998696
35,0.185346740000532
36,0.18514687000162666
37,0.18526779799867654
38,0.1847911000007298
39,0.18493552800006
40,0.18516470600065077
